OBJECTID,GL_String,Fund,Fund_Name,Department,Department_Name,Object,Object_Name,Adopted_Budget,Fiscal_Year
60,1000-30-30-3050-305031-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,7243986,2021
61,1000-30-30-3050-305025-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,7177824,2021
62,1000-30-30-3050-305022-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,7059807,2021
63,1000-30-30-3050-305021-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,6870508,2021
64,1000-30-30-3050-305023-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,6645421,2021
65,1000-30-30-3060-306035-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,5676060,2021
66,1000-30-30-3040-304041-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,3965234,2021
67,1000-30-30-3040-304031-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,3572075,2021
68,1000-30-30-3030-303021-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,3509026,2021
69,1000-30-30-3030-303025-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,3290271,2021
70,1000-30-30-3030-303011-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,2852077,2021
71,1000-30-30-3030-303012-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,2359332,2021
72,1000-30-30-3020-302046-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,2037670,2021
73,1000-30-30-3020-302051-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,1948052,2021
74,1000-30-30-3020-302052-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,1902800,2021
75,1000-30-30-3060-306011-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,1530439,2021
76,1000-30-30-3020-302021-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,1459226,2021
77,1000-30-30-3020-302040-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,1297366,2021
78,1000-30-30-3030-303013-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,1257858,2021
79,1000-30-30-3060-306045-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,1211250,2021
80,1000-30-30-3060-306005-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,1206038,2021
81,1000-30-30-3030-303022-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,1195982,2021
82,1000-30-30-3020-302050-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,1192555,2021
83,1000-30-30-3010-301002-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,1133829,2021
84,1000-30-30-3020-302035-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,1101164,2021
85,1000-30-30-3040-304018-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,1090017,2021
86,1000-30-30-3020-302024-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,1045023,2021
87,1000-30-30-3030-303023-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,987148,2021
88,1000-30-30-3050-305035-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,981446,2021
89,1000-30-30-3030-303014-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,961938,2021
90,1000-30-30-3040-304032-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,911325,2021
91,1000-30-30-3010-301001-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,848955,2021
92,1000-30-30-3020-302001-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,761487,2021
93,1000-30-30-3010-301004-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,734178,2021
94,1000-30-30-3020-302031-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,685722,2021
95,1000-30-30-3010-301022-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,639638,2021
96,1000-30-30-3060-306001-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,629291,2021
97,1000-30-30-3060-306040-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,590023,2021
98,1000-30-30-3060-306043-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,582305,2021
99,1000-30-30-3060-306004-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,573409,2021
100,1000-30-30-3030-303024-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,544532,2021
101,1000-30-30-3020-302025-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,498436,2021
102,1000-30-30-3030-303002-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,493620,2021
103,1000-30-30-3010-301024-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,390386,2021
104,1000-30-30-3030-303001-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,384314,2021
105,1000-30-30-3050-305001-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,308209,2021
106,1000-30-30-3060-306003-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,297650,2021
107,1000-30-30-3060-306006-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,289604,2021
108,1000-30-30-3040-304001-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,266901,2021
109,1000-30-30-3060-306007-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,261463,2021
110,1000-30-30-3030-303027-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,239547,2021
111,1000-30-30-3040-304034-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,199160,2021
112,1000-30-30-3050-305002-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,185452,2021
113,1000-30-30-3020-302041-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,143544,2021
114,1000-30-30-3020-302042-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,135512,2021
115,1000-30-30-3040-304033-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,134489,2021
116,1000-30-30-3050-305020-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,120343,2021
117,1000-30-30-3050-305010-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,119106,2021
118,1000-30-30-3050-305030-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,116838,2021
119,1000-30-30-3060-306044-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,115805,2021
120,1000-30-30-3060-306041-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,93917,2021
121,1000-30-30-3040-304036-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,81134,2021
122,1000-30-30-3040-304037-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,77270,2021
123,1000-30-30-3040-304035-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,45257,2021
124,1000-31-30-3160-000000-000000-000-510100,1000,1000 General Fund,31,31 Fire,510100,510100 Salaries & Wages - Regular,71344556,2021
125,1000-31-30-3190-000000-000000-000-510100,1000,1000 General Fund,31,31 Fire,510100,510100 Salaries & Wages - Regular,4903381,2021
126,1000-31-30-3120-000000-000000-000-510100,1000,1000 General Fund,31,31 Fire,510100,510100 Salaries & Wages - Regular,2671617,2021
127,1000-31-30-3130-000000-000000-000-510100,1000,1000 General Fund,31,31 Fire,510100,510100 Salaries & Wages - Regular,1898159,2021
128,1000-31-30-3170-000000-000000-000-510100,1000,1000 General Fund,31,31 Fire,510100,510100 Salaries & Wages - Regular,1099907,2021
129,1000-31-30-3150-000000-000000-000-510100,1000,1000 General Fund,31,31 Fire,510100,510100 Salaries & Wages - Regular,830098,2021
130,1000-31-30-3180-000000-000000-000-510100,1000,1000 General Fund,31,31 Fire,510100,510100 Salaries & Wages - Regular,634770,2021
131,1000-31-30-3140-000000-000000-000-510100,1000,1000 General Fund,31,31 Fire,510100,510100 Salaries & Wages - Regular,572123,2021
132,1000-31-30-3110-311010-000000-000-510100,1000,1000 General Fund,31,31 Fire,510100,510100 Salaries & Wages - Regular,479885,2021
133,1000-31-30-3110-311040-000000-000-510100,1000,1000 General Fund,31,31 Fire,510100,510100 Salaries & Wages - Regular,322500,2021
134,1000-31-30-3160-000000-315920-000-510100,1000,1000 General Fund,31,31 Fire,510100,510100 Salaries & Wages - Regular,318588,2021
135,1000-31-30-3110-311020-000000-000-510100,1000,1000 General Fund,31,31 Fire,510100,510100 Salaries & Wages - Regular,304998,2021
136,1000-31-30-3110-311022-000000-000-510100,1000,1000 General Fund,31,31 Fire,510100,510100 Salaries & Wages - Regular,275776,2021
137,1000-31-30-3110-311060-000000-000-510100,1000,1000 General Fund,31,31 Fire,510100,510100 Salaries & Wages - Regular,250982,2021
138,1000-31-30-3110-311080-000000-000-510100,1000,1000 General Fund,31,31 Fire,510100,510100 Salaries & Wages - Regular,212355,2021
139,1000-31-30-3110-311025-000000-000-510100,1000,1000 General Fund,31,31 Fire,510100,510100 Salaries & Wages - Regular,201518,2021
140,1000-31-30-3110-311070-000000-000-510100,1000,1000 General Fund,31,31 Fire,510100,510100 Salaries & Wages - Regular,182382,2021
141,1000-31-30-3110-311030-000000-000-510100,1000,1000 General Fund,31,31 Fire,510100,510100 Salaries & Wages - Regular,171842,2021
142,1000-31-30-3120-000000-310985-000-510100,1000,1000 General Fund,31,31 Fire,510100,510100 Salaries & Wages - Regular,63452,2021
143,6000-40-40-4040-404010-000000-985-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,7141980,2021
144,6000-40-40-4030-403020-000000-978-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,6101772,2021
145,6000-40-40-4030-403050-000000-985-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,4677305,2021
146,6000-40-40-4040-404020-000000-985-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,3156006,2021
147,6000-40-40-4070-407000-000000-985-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,3101621,2021
148,6000-40-40-4030-403010-000000-985-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,3035797,2021
149,6000-40-40-4020-402000-000000-981-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,2500983,2021
150,6000-40-40-4060-406000-000000-981-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,1974289,2021
151,6000-40-40-4020-402020-000000-981-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,1434085,2021
152,6000-40-40-4040-404030-000000-985-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,1427850,2021
153,6000-40-40-4010-401000-000000-981-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,855111,2021
154,6000-40-40-4050-405000-000000-981-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,717247,2021
155,6000-40-40-4030-403040-000000-974-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,705396,2021
156,6000-40-40-4010-401030-000000-981-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,650985,2021
157,6000-40-40-4010-401050-000000-999-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,566182,2021
158,6000-40-40-4050-405020-000000-981-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,556517,2021
159,6000-40-40-4010-401014-000000-981-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,536426,2021
160,6000-40-40-4030-403080-000000-981-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,510183,2021
161,6000-40-40-4040-404050-000000-985-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,497776,2021
162,6000-40-40-4010-401013-000000-981-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,477375,2021
163,6000-40-40-4055-405510-000000-981-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,339832,2021
164,6000-40-40-4055-405530-000000-974-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,337337,2021
165,6000-40-40-4050-405030-000000-974-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,323289,2021
166,6000-40-40-4030-403011-000000-972-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,319491,2021
167,6000-40-40-4040-404000-000000-985-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,316327,2021
168,6000-40-40-4010-401010-000000-981-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,304613,2021
169,6000-40-40-4010-401020-000000-981-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,283798,2021
170,6000-40-40-4030-403000-000000-985-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,269584,2021
171,6000-40-40-4010-401011-000000-981-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,235336,2021
172,6000-40-40-4010-401012-000000-981-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,234858,2021
173,6000-40-40-4030-403040-000000-975-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,234171,2021
174,6000-40-40-4055-405540-000000-981-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,218709,2021
175,6000-40-40-4040-404040-000000-974-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,207658,2021
176,6000-40-40-4055-405500-000000-981-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,158227,2021
177,6000-40-40-4030-403090-000000-985-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,150536,2021
178,6000-40-40-4055-405520-000000-981-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,138449,2021
179,6000-40-40-4010-401050-000000-982-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,78975,2021
180,6000-40-40-4050-405000-000000-985-510100,6000,6000 Airport Operating,40,40 Aviation,510100,510100 Salaries & Wages - Regular,72220,2021
181,6100-41-41-4150-415050-000000-000-510100,6100,6100 CATS Operating,41,41 Charlotte Area Transit System,510100,510100 Salaries & Wages - Regular,5434415,2021
182,6100-41-41-4160-416010-000000-000-510100,6100,6100 CATS Operating,41,41 Charlotte Area Transit System,510100,510100 Salaries & Wages - Regular,5070503,2021
183,6100-41-41-4160-416012-000000-000-510100,6100,6100 CATS Operating,41,41 Charlotte Area Transit System,510100,510100 Salaries & Wages - Regular,4188542,2021
184,6100-41-41-4160-416013-000000-000-510100,6100,6100 CATS Operating,41,41 Charlotte Area Transit System,510100,510100 Salaries & Wages - Regular,3094687,2021
185,6100-41-41-4160-416020-000000-000-510100,6100,6100 CATS Operating,41,41 Charlotte Area Transit System,510100,510100 Salaries & Wages - Regular,2176962,2021
186,6100-41-41-4130-413001-000000-000-510100,6100,6100 CATS Operating,41,41 Charlotte Area Transit System,510100,510100 Salaries & Wages - Regular,1866528,2021
187,6100-41-41-4110-411010-000000-000-510100,6100,6100 CATS Operating,41,41 Charlotte Area Transit System,510100,510100 Salaries & Wages - Regular,1792230,2021
