X,Y,OBJECTID,CRSH_ID,DATE_VAL_Y,DATE_VAL_M,DATE_VAL_1,DATE_VAL_D,DAY_OF_WEE,DAY_OF_W_1,MILT_TIME,CASE_NUM,CRSH_TYPE_,CRASH_TYPE,CRSH_LEVL,PRIMARY_CA,PRIMARY__1,SECONDARY_,SECONDARY1,LATITUDE,LONGITUDE,StreetID
1414659.17523101,503399.06523101,3760,965763,2019,8,August,15,5,Thursday,2125,20190815212600,14,Pedestrian,2,0,No contributing circumstance indicated,0, ,35.117331,-80.957557,
1425654.44335601,538968.960856006,3761,865278,2017,10,October,28,7,Saturday,346,20171028034600,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.215638,-80.923099,
1435317.78585601,546841.417731002,3762,928824,2019,1,January,23,4,Wednesday,645,20190123064500,14,Pedestrian,2,0,No contributing circumstance indicated,0, ,35.237775,-80.891253,
1433958.05335601,545309.751481012,3763,942822,2019,4,April,7,1,Sunday,1155,20190407115500,27,Head on,2,8,Failure to reduce speed,0, ,35.233496,-80.895708,
1466116.77960601,553718.493981004,3764,878448,2017,12,December,2,7,Saturday,2315,20171202231500,21,"Rear end, slow or stop",1,8,Failure to reduce speed,0, ,35.258236,-80.788538,
1472532.26773101,537116.441481009,3765,930996,2019,1,January,27,1,Sunday,2143,20190127214300,23,"Left turn, same roadway",1,19,Failed to yield right of way,0, ,35.212942,-80.766061,
1484722.261481,553366.520231009,3766,893874,2018,6,June,29,6,Friday,1125,20180629112500,24,"Left turn, different roadways",2,19,Failed to yield right of way,0,None (no unusual conditions),35.258174,-80.726201,
1454051.95148101,530906.562106013,3767,875263,2018,3,March,14,4,Wednesday,1950,20180314195000,21,"Rear end, slow or stop",2,19,Failed to yield right of way,0, ,35.194963,-80.82754,
1467829.33148101,553617.068356007,3768,890226,2018,5,May,29,3,Tuesday,1317,20180529131700,14,Pedestrian,1,0, ,0, ,35.258042,-80.782796,
1433281.18710601,513563.975231007,3769,782963,2016,9,September,23,6,Friday,2022,20160923202200,14,Pedestrian,2,0,No contributing circumstance indicated,0, ,35.146249,-80.895944,
1435708.61023101,568715.537731007,3770,1062761,2020,2,February,15,7,Saturday,1750,20200215175300,5,Overturn/rollover,1,14,Overcorrected/oversteered,0, ,35.297887,-80.89134,
1446105.77273101,541822.359606013,3771,926198,2018,12,December,27,5,Thursday,614,20181227061500,19,Fixed object,1,6,Exceeded authorized speed limit,0, ,35.224546,-80.854816,
1430348.963981,537459.461481005,3772,844432,2017,6,June,22,5,Thursday,2213,20170622221300,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.21174,-80.907287,
1455733.870856,575523.040231004,3773,1044800,2020,9,September,13,1,Sunday,1620,20200913162000,21,"Rear end, slow or stop",2,20,Inattention,0, ,35.317618,-80.824656,
1408737.622106,510465.426481009,3774,1039854,2020,8,August,19,4,Wednesday,37,20200819004000,30,Angle,2,4,Disregarded traffic signals,0, ,35.136421,-80.977826,
1485047.930231,533335.767106012,3775,945539,2019,4,April,26,6,Friday,604,20190426060400,27,Head on,2,34,Unknown,0, ,35.20316,-80.723945,
1428759.38023101,563144.633981004,3776,831211,2017,2,February,20,2,Monday,121,20170220012100,30,Angle,1,2,Disregarded stop sign,0, ,35.282217,-80.914266,
1432479.22648101,552179.282106012,3777,862688,2017,8,August,31,5,Thursday,55,20170831005500,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.25229,-80.9011,
1450024.92273101,547149.073356003,3778,875607,2016,10,October,24,2,Monday,356,20161024035600,44,Guardrail face in median,2,20,Inattention,0, ,35.23938,-80.842026,
1475832.857106,543158.198356003,3779,779455,2016,6,June,28,3,Tuesday,2138,20160628213800,27,Head on,1,6,Exceeded authorized speed limit,0, ,35.229701,-80.75537,
1451076.06523101,531077.985231012,3780,858930,2017,12,December,15,6,Friday,1823,20171215182300,28,"Sideswipe, same direction",2,20,Inattention,0, ,35.195283,-80.83751,
1418347.512106,546294.171481013,3781,884174,2018,5,May,3,5,Thursday,1007,20180503100700,23,"Left turn, same roadway",2,0,No contributing circumstance indicated,0,None (no unusual conditions),35.23537,-80.94804,
1488350.14460601,581126.976481006,3782,822522,2017,5,May,22,2,Monday,1748,20170522174800,21,"Rear end, slow or stop",2,6,Exceeded authorized speed limit,0, ,35.334611,-80.715657,
1432102.67960601,553611.608356014,3783,1040872,2020,8,August,23,1,Sunday,2205,20200823220500,1,Ran off road right,2,38,Driver distracted by external distraction (outside the vehicle,0, ,35.256205,-80.902453,
1460907.36335601,572178.248981014,3784,765693,2016,5,May,20,6,Friday,2338,20160520233800,2,Ran off road left,2,30,Alcohol use,0, ,35.3086893,-80.8071116,
1440557.14585601,554633.078981012,3785,817202,2017,4,April,22,7,Saturday,2327,20170422232700,14,Pedestrian,2,1,Disregarded yield sign,0,None (no unusual conditions),35.259453,-80.874202,
1502856.48273101,535662.772731006,3786,1009306,2020,3,March,5,5,Thursday,2155,20200305215800,14,Pedestrian,1,0, ,0, ,35.210388,-80.664468,
1453736.228356,540592.375231013,3787,929409,2019,1,January,26,7,Saturday,334,20190126033400,27,Head on,2,30,Alcohol use,0, ,35.221556,-80.829194,
1462632.55398101,564172.071481004,3788,1057320,2020,11,November,11,4,Wednesday,1311,20201111131100,2,Ran off road left,2,31,Drug use,0, ,35.286781,-80.800843,
1502619.92960601,535594.305231005,3789,1058897,2020,10,October,1,5,Thursday,2240,20201001224000,2,Ran off road left,1,6,Exceeded authorized speed limit,0, ,35.210189,-80.665256,
1412766.78835601,566406.308356002,3790,971340,2019,9,September,13,6,Friday,1343,20190913134300,28,"Sideswipe, same direction",2,19,Failed to yield right of way,0, ,35.290318,-80.968061,
1471951.09960601,556450.629606009,3791,906371,2018,4,April,20,6,Friday,1700,20180420170000,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.266029,-80.76916,
1478436.336481,566391.370231003,3792,1019743,2020,5,May,10,1,Sunday,2119,20200510211900,14,Pedestrian,2,0, ,0, ,35.293654,-80.748023,
1413191.12523101,562078.803981006,3793,816057,2017,4,April,16,1,Sunday,1715,20170416171500,1,Ran off road right,2,34,Unknown,0, ,35.278453,-80.966352,
1464272.293356,590714.037106007,3794,952783,2019,6,June,7,6,Friday,840,20190607084000,1,Ran off road right,2,14,Overcorrected/oversteered,0, ,35.359778,-80.796959,
1446232.00773101,554776.90898101,3795,1068616,2020,10,October,17,7,Saturday,2131,20201017213100,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.260141,-80.855204,
1480709.463981,534065.177106008,3796,1075473,2020,10,October,6,3,Tuesday,2030,20201006203000,14,Pedestrian,2,0,No contributing circumstance indicated,0, ,35.204956,-80.738509,
1491623.104606,582736.275231004,3797,1069174,2020,5,May,7,5,Thursday,1808,20200507180800,1,Ran off road right,2,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",0, ,35.339187,-80.704777,
1480624.183981,533358.328356013,3798,881825,2018,4,April,23,2,Monday,2212,20180423221200,21,"Rear end, slow or stop",2,7,Exceeded safe speed for conditions,0, ,35.20301,-80.738753,
1448710.18960601,547110.527731001,3799,1060848,2020,11,November,27,6,Friday,2222,20201127222200,20,Parked motor vehicle,2,6,Exceeded authorized speed limit,0, ,35.239207,-80.846426,
1471785.243981,584545.136481002,3800,1031358,2020,7,July,1,4,Wednesday,1958,20200701195800,1,Ran off road right,1,6,Exceeded authorized speed limit,0, ,35.343202,-80.771395,
1480342.16148101,556711.398981005,3801,864210,2018,1,January,18,5,Thursday,2351,20180118235100,1,Ran off road right,2,7,Exceeded safe speed for conditions,0, ,35.267153,-80.741068,
1455245.133356,572845.257731006,3802,979124,2019,3,March,3,1,Sunday,2328,20190303232800,27,Head on,1,11,Crossed centerline/going wrong way,0, ,35.310237,-80.826129,
1408151.44148101,503563.069606006,3803,1010906,2020,3,March,22,1,Sunday,2011,20200322201100,2,Ran off road left,1,6,Exceeded authorized speed limit,0, ,35.117427,-80.979326,
1483008.075856,533120.105856001,3804,827174,2017,6,June,18,1,Sunday,2120,20170618212000,23,"Left turn, same roadway",2,19,Failed to yield right of way,0, ,35.20247,-80.73076,
1483132.478981,527092.67460601,3805,902671,2018,8,August,24,6,Friday,1033,20180824103300,26,"Right turn, different roadways",2,19,Failed to yield right of way,0, ,35.185917,-80.729992,
1471880.60960601,584540.886481002,3806,911782,2018,10,October,21,1,Sunday,457,20181021045700,1,Ran off road right,2,32,Other*,0, ,35.343195,-80.771075,
1451523.92960601,544283.853981003,3807,902881,2018,8,August,26,1,Sunday,1544,20180826154400,21,"Rear end, slow or stop",2,33,Unable to determine,0, ,35.231585,-80.836829,
1467096.634606,549963.977106005,3808,790138,2016,11,November,4,6,Friday,2018,20161104201800,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.24797,-80.78503,
1440552.278981,543144.26835601,3809,1053760,2020,10,October,1,5,Thursday,2042,20201001204200,30,Angle,1,2,Disregarded stop sign,0, ,35.227891,-80.873492,
1434455.622106,525873.046481013,3810,742681,2016,1,January,5,3,Tuesday,2123,20160105212300,27,Head on,2,0, ,0, ,35.180126,-80.892801,
1461913.47523101,499692.490231007,3811,807841,2017,3,March,5,1,Sunday,1320,20170305132000,1,Ran off road right,2,6,Exceeded authorized speed limit,0, ,35.109605,-80.799336,
1434778.52960601,549665.145231009,3812,907287,2018,9,September,24,2,Monday,121,20180924012000,14,Pedestrian,2,9,Improper turn,0, ,35.245504,-80.893239,
1446166.932731,541722.570856005,3813,919440,2018,11,November,25,1,Sunday,1528,20181125152800,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.224275,-80.854605,
1481440.430856,550483.002106011,3814,937050,2019,3,March,8,6,Friday,1509,20190308150900,2,Ran off road left,2,0,No contributing circumstance indicated,0, ,35.250095,-80.737024,
1409497.01898101,512036.669606,3815,840707,2017,6,June,29,5,Thursday,1249,20170629124900,27,Head on,1,6,Exceeded authorized speed limit,0, ,35.140779,-80.975391,
1413063.28898101,502586.442731008,3816,890766,2018,5,May,31,5,Thursday,1815,20180531181500,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.115012,-80.962839,
1448886.965856,559534.15898101,3817,808533,2016,12,December,14,4,Wednesday,2350,20161214234100,3,Ran off road straight ahead,1,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",0, ,35.273346,-80.846608,
1432774.386481,551843.834606007,3818,821747,2017,4,April,29,7,Saturday,2001,20170429200100,1,Ran off road right,2,14,Overcorrected/oversteered,0, ,35.251384,-80.90009,
1411315.95148101,559766.993981004,3819,788983,2016,11,November,1,3,Tuesday,1923,20161101192300,23,"Left turn, same roadway",2,9,Improper turn,0, ,35.272,-80.97248,
1436416.586481,519132.520231009,3820,904381,2018,9,September,6,5,Thursday,1019,20180906101900,19,Fixed object,2,20,Inattention,0, ,35.161711,-80.885811,
1483548.90898101,543565.835856006,3821,1031347,2020,4,April,26,1,Sunday,333,20200426033300,14,Pedestrian,1,0, ,0, ,35.231193,-80.729559,
1446398.446481,528779.978981003,3822,826245,2017,6,June,9,6,Friday,2136,20170609213600,1,Ran off road right,2,30,Alcohol use,0, ,35.188731,-80.853021,
1424045.18835601,513686.138356,3823,1002084,2020,2,February,5,4,Wednesday,857,20200205085700,14,Pedestrian,1,13,Use of improper lane,0, ,35.146096,-80.926843,
1454678.762106,490537.797731012,3824,810566,2016,3,March,15,3,Tuesday,1633,20160315163300,23,"Left turn, same roadway",1,19,Failed to yield right of way,0, ,35.084092,-80.822961,
1459293.97085601,528080.122106001,3825,821757,2017,5,May,9,3,Tuesday,918,20170509091800,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.187462,-80.809824,
1461398.62960601,562378.810231,3826,966118,2019,8,August,16,6,Friday,2005,20190816200500,30,Angle,2,6,Exceeded authorized speed limit,0, ,35.281793,-80.804868,
1497710.322106,561087.460231006,3827,777145,2016,8,August,15,2,Monday,1920,20160815192000,27,Head on,2,6,Exceeded authorized speed limit,0, ,35.2799981,-80.6831375,
1471761.635856,544865.577106014,3828,801808,2017,1,January,15,1,Sunday,2058,20170115205800,30,Angle,2,20,Inattention,0, ,35.234193,-80.769103,
1449758.557106,545075.167731002,3829,772282,2016,5,May,27,6,Friday,2318,20160527231800,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.233669,-80.842789,
1453828.761481,550182.982731014,3830,951063,2019,1,January,10,5,Thursday,1248,20190110124800,23,"Left turn, same roadway",2,19,Failed to yield right of way,0, ,35.247908,-80.829476,
1448863.962106,543559.680231005,3831,810775,2016,10,October,26,4,Wednesday,756,20161026075600,21,"Rear end, slow or stop",1,20,Inattention,0, ,35.22946,-80.84569,
1433855.28210601,586418.126481012,3832,832513,2017,5,May,6,7,Saturday,35,20170506003500,1,Ran off road right,1,6,Exceeded authorized speed limit,0, ,35.346421,-80.898685,
1419469.81585601,507773.153981,3833,979179,2019,10,October,15,3,Tuesday,2058,20191015205800,23,"Left turn, same roadway",1,4,Disregarded traffic signals,0,None (no unusual conditions),35.129607,-80.941759,
1469497.67023101,546425.001481012,3834,762665,2016,4,April,24,1,Sunday,1231,20160424123100,14,Pedestrian,1,0, ,0, ,35.238366,-80.776777,
1446397.338981,555811.576481014,3835,771706,2016,7,July,7,5,Thursday,1230,20160707123000,14,Pedestrian,2,0,No contributing circumstance indicated,0, ,35.2629919,-80.854715,
1445482.57648101,564917.357731014,3836,758915,2016,4,April,9,7,Saturday,2105,20160409210500,21,"Rear end, slow or stop",2,0,No contributing circumstance indicated,0, ,35.28796,-80.85835,
1467326.402731,553642.485856012,3837,793333,2016,10,October,9,1,Sunday,119,20161009011900,14,Pedestrian,1,6,Exceeded authorized speed limit,0, ,35.258087,-80.784482,
1481113.24023101,546342.752106011,3838,1004792,2019,11,November,23,7,Saturday,400,20191123040000,1,Ran off road right,1,30,Alcohol use,0, ,35.238705,-80.737877,
1482140.011481,577094.388356,3839,810132,2017,3,March,19,1,Sunday,1524,20170319152400,19,Fixed object,2,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",0, ,35.323236,-80.73624,
1460244.88148101,538089.228981003,3840,833502,2016,6,June,9,5,Thursday,225,20160608022500,32,Other collision with vehicle*,1,30,Alcohol use,0, ,35.214972,-80.807501,
1456846.89335601,554879.990856007,3841,902337,2018,8,August,21,3,Tuesday,122,20180821010700,1,Ran off road right,2,6,Exceeded authorized speed limit,0, ,35.260964,-80.819657,
1445253.55210601,537286.741481006,3842,894992,2018,7,July,4,4,Wednesday,2301,20180704230100,14,Pedestrian,2,0,No contributing circumstance indicated,0, ,35.212042,-80.857385,
1433746.20585601,549634.255856007,3843,833383,2017,7,July,22,7,Saturday,312,20170722031200,55,Traffic island curb or median,2,6,Exceeded authorized speed limit,0, ,35.245365,-80.896694,
1417975.59835601,560730.365231007,3844,901941,2018,3,March,17,7,Saturday,951,20180317095100,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.275008,-80.950235,
1440539.34210601,533499.369606003,3845,823292,2017,5,May,26,6,Friday,1714,20170526171400,14,Pedestrian,2,0,No contributing circumstance indicated,0, ,35.201394,-80.872926,
1486292.84335601,533781.544606,3846,842973,2017,9,September,18,2,Monday,1850,20170918185000,14,Pedestrian,2,0,No contributing circumstance indicated,0, ,35.204444,-80.719804,
1413301.03085601,530248.474606007,3847,813946,2017,2,February,23,5,Thursday,2039,20170223203900,24,"Left turn, different roadways",2,34,Unknown,0, ,35.191017,-80.963874,
1452052.386481,540089.092106014,3848,1029243,2020,6,June,27,7,Saturday,2105,20200627210600,14,Pedestrian,2,0, ,0, ,35.220088,-80.8348,
1454506.71898101,540112.622106001,3849,894838,2018,7,July,10,3,Tuesday,40,20180710004200,1,Ran off road right,2,33,Unable to determine,0, ,35.220277,-80.826585,
1460433.05398101,521440.720231012,3850,1015232,2020,4,April,18,7,Saturday,2112,20200418211200,1,Ran off road right,2,6,Exceeded authorized speed limit,0, ,35.169279,-80.805608,
1468165.40648101,538166.710856006,3851,937494,2018,12,December,12,4,Wednesday,439,20181212043900,30,Angle,1,30,Alcohol use,0, ,35.215613,-80.780742,
1464199.728356,555669.592106014,3852,897349,2018,7,July,21,7,Saturday,1848,20180721184800,21,"Rear end, slow or stop",2,29,Operated defective equipment,0, ,35.263501,-80.795077,
1445694.14835601,492015.298356012,3853,860853,2017,12,December,24,1,Sunday,1428,20171224142800,15,Pedalcyclist,1,6,Exceeded authorized speed limit,0, ,35.087694,-80.853081,
1469188.21773101,553156.250231013,3854,885727,2018,5,May,11,6,Friday,737,20180511073700,27,Head on,1,12,Improper lane change,0, ,35.256843,-80.778217,
1407209.98773101,570429.517106012,3855,1024712,2020,6,June,9,3,Tuesday,1348,20200609134800,27,Head on,2,19,Failed to yield right of way,0, ,35.301066,-80.986949,
1425528.56960601,544958.684606001,3856,914294,2018,11,November,2,6,Friday,1441,20181102144100,1,Ran off road right,2,33,Unable to determine,0, ,35.232086,-80.923909,
1487437.42273101,583436.734606013,3857,1034431,2019,12,December,15,1,Sunday,1839,20191215183900,2,Ran off road left,2,34,Unknown,0, ,35.340913,-80.718851,
1418382.51648101,505516.837731004,3858,979125,2019,3,March,7,5,Thursday,2138,20190307213800,1,Ran off road right,1,8,Failure to reduce speed,0, ,35.12335,-80.945247,
1483245.47335601,557161.483356014,3859,818906,2017,2,February,14,3,Tuesday,145,20170214014500,1,Ran off road right,1,6,Exceeded authorized speed limit,0, ,35.268529,-80.731369,
1419345.573981,578617.95648101,3860,901265,2018,8,August,18,7,Saturday,910,20180818091000,23,"Left turn, same roadway",2,9,Improper turn,0, ,35.324221,-80.946821,
1480395.67148101,567435.11273101,3861,828948,2017,5,May,20,7,Saturday,2156,20170520215600,14,Pedestrian,1,0, ,0, ,35.296616,-80.741519,
1432701.50023101,537330.627106011,3862,1036582,2020,8,August,1,7,Saturday,1635,20200801163500,14,Pedestrian,2,0,No contributing circumstance indicated,0, ,35.21151,-80.899404,
1426217.776481,548191.606481001,3863,756939,2016,3,March,24,5,Thursday,200,20160324032400,14,Pedestrian,2,0, ,0, ,35.241004,-80.921811,
1447178.89335601,540424.192106009,3864,979122,2018,11,November,21,4,Wednesday,30,20181121003000,15,Pedalcyclist,1,0,No contributing circumstance indicated,0, ,35.22076,-80.851136,
1455028.25273101,573025.793981001,3865,804918,2016,12,December,3,7,Saturday,1641,20161203164100,1,Ran off road right,1,20,Inattention,0, ,35.310722,-80.826867,
1427640.95585601,536629.984606013,3866,1044698,2020,7,July,2,5,Thursday,1659,20200702165900,14,Pedestrian,2,20,Inattention,0, ,35.209318,-80.916298,
1472318.67898101,527597.615231007,3867,760222,2016,4,April,22,6,Friday,1127,20160422112700,21,"Rear end, slow or stop",2,8,Failure to reduce speed,0, ,35.186781,-80.766209,
1443989.82960601,502872.376481012,3868,789292,2016,7,July,11,2,Monday,2045,20160711204500,23,"Left turn, same roadway",1,6,Exceeded authorized speed limit,0, ,35.1174334,-80.8594571,
1466079.11210601,555621.103356004,3869,802581,2017,1,January,27,6,Friday,1540,20170127154000,2,Ran off road left,2,0,No contributing circumstance indicated,0, ,35.263461,-80.788779,
1470428.963981,481025.074606001,3870,987693,2019,10,October,22,3,Tuesday,1016,20191022101600,30,Angle,1,34,Unknown,0, ,35.058741,-80.769754,
1420652.37835601,553600.680231005,3871,925914,2019,1,January,4,6,Friday,1245,20190104124800,27,Head on,2,11,Crossed centerline/going wrong way,0, ,35.255566,-80.940801,
1451027.07648101,572434.291481003,3872,895175,2018,7,July,11,4,Wednesday,1400,20180711140000,26,"Right turn, different roadways",2,9,Improper turn,0, ,35.308894,-80.84024,
1481744.40710601,516794.663356006,3873,763741,2016,4,April,11,2,Monday,2055,20160411205500,1,Ran off road right,1,32,Other*,0, ,35.157559,-80.734035,
1462331.74835601,523706.003981009,3874,870508,2018,2,February,21,4,Wednesday,2008,20180221200800,14,Pedestrian,2,20,Inattention,0, ,35.175597,-80.799393,
1424357.057106,534568.827106014,3875,980828,2019,6,June,2,1,Sunday,2211,20190602221100,24,"Left turn, different roadways",1,2,Disregarded stop sign,0, ,35.203481,-80.927156,
1420224.618981,509579.535856009,3876,776337,2016,6,June,30,5,Thursday,2228,20160630222800,14,Pedestrian,2,0, ,0, ,35.13461,-80.939353,
1431893.70835601,554952.635856003,3877,1037770,2020,8,August,7,6,Friday,1813,20200807181300,5,Overturn/rollover,2,33,Unable to determine,0, ,35.259878,-80.903239,
1457050.95773101,572440.434606001,3878,989160,2019,12,December,9,2,Monday,619,20191209061900,5,Overturn/rollover,2,32,Other*,0, ,35.309216,-80.820052,
1478380.47585601,550960.772106007,3879,743315,2016,1,January,7,5,Thursday,809,20150107080900,30,Angle,2,4,Disregarded traffic signals,0, ,35.25126,-80.7473,
1480152.508981,518666.888981014,3880,795467,2016,12,December,11,1,Sunday,2358,20161211235800,14,Pedestrian,1,9,Improper turn,0, ,35.162626,-80.73947,
1466948.07773101,524253.490856007,3881,921817,2018,12,December,10,2,Monday,1533,20181210153300,28,"Sideswipe, same direction",2,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",0, ,35.17733,-80.78398,
1445041.20960601,586647.45585601,3882,808384,2017,2,February,27,2,Monday,1923,20170227192300,23,"Left turn, same roadway",1,4,Disregarded traffic signals,0, ,35.347633,-80.861194,
1470127.41273101,543513.356481001,3883,796370,2016,6,June,19,1,Sunday,2118,20160619211800,23,"Left turn, same roadway",2,6,Exceeded authorized speed limit,0, ,35.230398,-80.774494,
1471968.493356,544867.751481012,3884,770484,2016,7,July,1,6,Friday,1506,20160701150600,2,Ran off road left,2,6,Exceeded authorized speed limit,0, ,35.2342091,-80.7684105,
1414675.53335601,582485.562731013,3885,846219,2017,10,October,7,7,Saturday,325,20171007032500,2,Ran off road left,2,6,Exceeded authorized speed limit,0, ,35.334593,-80.962731,
1481125.948356,547972.527731001,3886,871825,2018,2,February,18,1,Sunday,1702,20180218170200,1,Ran off road right,2,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",0, ,35.243183,-80.73793,
1477165.308356,533784.83085601,3887,788962,2016,10,October,5,4,Wednesday,1140,20161005114000,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.2040147,-80.7503553,
1484751.19085601,541118.124606013,3888,884230,2018,5,May,7,2,Monday,1005,20180507100500,1,Ran off road right,2,33,Unable to determine,0, ,35.224526,-80.725391,
1425789.634606,556825.590231001,3889,977650,2019,5,May,2,5,Thursday,849,20190502084900,27,Head on,1,7,Exceeded safe speed for conditions,0, ,35.2647,-80.923805,
1447281.39710601,549363.055231005,3890,797928,2016,7,July,21,5,Thursday,1523,20160721152300,2,Ran off road left,1,7,Exceeded safe speed for conditions,0, ,35.245322,-80.851351,
1447297.85898101,571651.147106007,3891,999516,2019,7,July,6,7,Saturday,1801,20190706180100,21,"Rear end, slow or stop",1,7,Exceeded safe speed for conditions,0, ,35.306552,-80.852689,
1480405.76835601,567415.279606014,3892,776572,2016,8,August,12,6,Friday,843,20160812084300,23,"Left turn, same roadway",2,19,Failed to yield right of way,0, ,35.296562,-80.741484,
1453495.555231,540402.432106003,3893,839683,2017,4,April,26,4,Wednesday,149,20170426014900,3,Ran off road straight ahead,1,6,Exceeded authorized speed limit,0, ,35.221022,-80.829988,
1495664.15648101,550801.29960601,3894,1012493,2020,4,April,4,7,Saturday,2309,20200404230900,1,Ran off road right,2,6,Exceeded authorized speed limit,0, ,35.251753,-80.687203,
1481703.368356,527650.873981014,3895,923236,2018,12,December,7,6,Friday,2157,20181207215800,27,Head on,1,11,Crossed centerline/going wrong way,0, ,35.187382,-80.734807,
1478228.727731,542000.989606008,3896,855867,2017,11,November,30,5,Thursday,857,20171130085700,21,"Rear end, slow or stop",2,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",0,None (no unusual conditions),35.226638,-80.74728,
1452057.45898101,559790.577106014,3897,1071086,2020,8,August,20,5,Thursday,735,20200820073500,27,Head on,1,6,Exceeded authorized speed limit,0, ,35.274212,-80.836003,
1452051.228356,540074.917106003,3898,817572,2017,3,March,16,5,Thursday,219,20170316021900,1,Ran off road right,1,30,Alcohol use,0, ,35.220049,-80.834803,
1483790.79523101,515705.943981007,3899,816186,2016,11,November,5,7,Saturday,1609,20161105160900,15,Pedalcyclist,2,8,Failure to reduce speed,0, ,35.154666,-80.727126,
1468161.855231,538168.594606012,3900,1033937,2020,7,July,22,4,Wednesday,543,20200722054300,23,"Left turn, same roadway",2,1,Disregarded yield sign,0, ,35.215618,-80.780754,
1440803.918981,523772.834606007,3901,767369,2016,6,June,9,5,Thursday,1223,20160609122300,21,"Rear end, slow or stop",2,20,Inattention,0, ,35.174687,-80.8714267,
1436001.58273101,541891.681481004,3902,971882,2019,9,September,2,2,Monday,1750,20190902175000,14,Pedestrian,2,0, ,0, ,35.224213,-80.888648,
